Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Якубова Алия Мирфаисовна: Война на личном фронте,934 ₽,Якубова Алия Мирфаисовна,Истории оборотня,Русское фэнтези,RUGRAM,978-5-517-05315-2,16+,2021,206,Твёрдый переплёт,Нет данных,154x217  мм,0.36  кг
Якубова Алия Мирфаисовна: Месть из прошлого,849 ₽,Якубова Алия Мирфаисовна,Истории оборотня,Русское фэнтези,RUGRAM,978-5-517-05321-3,16+,2021,176,Твёрдый переплёт,Нет данных,154x217  мм,0.32  кг
Смородинский Георгий Георгиевич: Телохранитель Темного Бога. Кн. 1. Неправильный самурай,1 869 ₽,Георгий Смородинский,Телохранитель Темного Бога,Русское фэнтези,RUGRAM,978-5-517-07086-9,16+,2022,378,Твёрдый переплёт,Нет данных,153x217  мм,0.59  кг
"Платунова Анна Сергеевна: Убить демона, спасти короля",577 ₽,Анна Платунова,Любовь внеземная,Русское фэнтези,"АСТ, Жанры",978-5-17-149368-4,16+,2022,320,Твёрдый переплёт,газетная,133x208  мм,0.26  кг
"Martinas E. V.: Место, которого дважды не было. Часть 2. Война близко",507 ₽,E. V. Martinas,Мастера прозы,Русское фэнтези,Эксмо,978-5-6047830-0-9,16+,2022,400,Твёрдый переплёт,газетная,157x225  мм,0.46  кг
Зорич Александр: Светлое время ночи,271 ₽,Александр Зорич,Нет данных,Русское фэнтези,Нет данных,2221161290224,Нет данных,2010,491,Нет данных,Нет данных,135x205  мм,0.40  кг
Каштанова Юлия: Призрачный огонь,2 089 ₽,Каштанова Юлия,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06325-0,16+,2022,346,Твёрдый переплёт,Нет данных,152x215  мм,0.53  кг
Боярова Мелина: Попаданка с Земли,1 614 ₽,Боярова Мелина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06274-1,16+,2021,444,Твёрдый переплёт,Нет данных,153x217  мм,0.66  кг
"Снегирева Ирина: Отмените свадьбу, лорд или Только ты",1 062 ₽,Ирина Снегирева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06924-5,16+,2022,246,Твёрдый переплёт,Нет данных,152x210  мм,0.42  кг
"Снегирева Ирина: Фальшивая невеста, или Попаданка против!",1 359 ₽,Ирина Снегирева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-06661-9,16+,2022,276,Твёрдый переплёт,Нет данных,153x217  мм,0.47  кг
Татарникова Ирина: Сияние моего пути,1 099 ₽,Ирина Татарникова,Нет данных,Русское фэнтези,Нет данных,978-5-93454-280-2,Нет данных,2022,217,Твёрдый переплёт,Нет данных,148x207  мм,0.42  кг
Семикова Лариса: Дождь над Рамхару,1 869 ₽,Лариса Семикова,Аква,Русское фэнтези,RUGRAM,978-5-517-06778-4,16+,2022,366,Твёрдый переплёт,Нет данных,152x215  мм,0.55  кг
Жгулев Петр: Real-Rpg 2. Еретик. Кн. 2,2 294 ₽,Жгулев Петр,Real-rpg,Русское фэнтези,RUGRAM,978-5-517-06992-4,16+,2022,464,Твёрдый переплёт,Нет данных,151x216  мм,0.67  кг
Коробкова Ольга А.: Приключения в Аду. Богиня. Кн. 2,1 529 ₽,Ольга Коробкова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05666-5,16+,2021,308,Твёрдый переплёт,Нет данных,153x215  мм,0.49  кг
Соул Диана: Академия Пяти Домов,1 232 ₽,Диана Соул,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08356-2,16+,2022,280,Мягкий заламинированный картон,Нет данных,153x217  мм,0.39  кг
"Вешнева Ольга, Боровская Татьяна: Снежный трофей адмирала",1 989 ₽,"Ольга Вешнева, Татьяна Боровская",Холодные звезды,Русское фэнтези,RUGRAM,978-5-517-07223-8,16+,2022,292,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Васильева Юлия С.: Урожай собрать не просто. Ч. 2,1 232 ₽,Юлия Васильева,Нет данных,Русское фэнтези,RUGRAM,978-5-517-05015-1,16+,2022,334,Твёрдый переплёт,Нет данных,155x220  мм,0.46  кг
Каблукова Екатерина: Приказано жениться!,2 619 ₽,Екатерина Каблукова,Нет данных,Русское фэнтези,RUGRAM,978-5-517-07835-3,16+,2022,494,Твёрдый переплёт,Нет данных,153x217  мм,0.71  кг
"Вешнева Ольга, Боровская Татьяна: Стальной адмирал и Пушистый хвост",1 879 ₽,"Ольга Вешнева, Татьяна Боровская",Холодные звезды,Русское фэнтези,RUGRAM,978-5-517-07878-0,16+,2022,286,Твёрдый переплёт,Нет данных,152x215  мм,0.47  кг
Косухина Наталья Викторовна: Корпорация Лемнискату. И замкнется круг,1 779 ₽,Наталья Косухина,Нет данных,Русское фэнтези,RUGRAM,978-5-517-08186-5,16+,2022,292,Твёрдый переплёт,Нет данных,153x217  мм,0.46  кг
Вешнева Ольга: Свет призрачной звезды. Ч. 2: Мрак багрового заката,2 729 ₽,Ольга Вешнева,Близкая Галактика,Русское фэнтези,RUGRAM,978-5-517-05547-7,16+,2021,484,Твёрдый переплёт,Нет данных,152x215  мм,0.69  кг
Мах Макс: Голубая луна,577 ₽,Макс Мах,Современный фантастический боевик,Боевое фэнтези,Нет данных,978-5-17-135487-9,16+,2022,352,Твёрдый переплёт,газетная,137x210  мм,0.28  кг
